"reachNumber","reachID","length","width","depth","localArea","localPET","localCin","d","connect","order","lake"
8597,22722685,1831,4.21307205019718,0.186611446549041,2012400,0.005,10,0.1,"22722679,22722681",2,0
7698,22723781,3830,17.6968443341452,0.509619620949914,6069600,0.005,10,0.1,"22722715,22722717",2,0
7691,22722761,1175,6.12187519571465,0.24240311088945,1106100,0.005,10,0.1,"22722725,22722727",2,0
9817,22724287,597,6.21077909248293,0.244861957258795,948600,0.005,10,0.1,"22722751",1,0
7690,22722789,1116,7.8450746992391,0.288361328193913,1383300,0.005,10,0.1,"22722761,22722759",3,0
8608,22724397,2,2.41878930737478,0.126542872029294,4500,0.005,10,0.1,"22722763",1,0
8258,22722765,933,5.39787896720145,0.221960277286882,716400,0.005,10,0.1,"22722767,22722781",2,0
8279,22722707,1329,4.6235533412478,0.199160023864206,2733300,0.005,10,0.1,"22722773,22722709",2,0
9935,22722753,2647,5.33530813721488,0.220156095215413,4369500,0.005,10,0.1,"22722777,22722783",2,0
7689,22722799,2416,8.52985721222929,0.305758325894214,3442500,0.005,10,0.1,"22722789,22722809",3,0
7687,22724733,2544,9.41329126145557,0.327595635132635,4586400,0.005,10,0.1,"22722799,22722793",3,0
10208,22724335,79,1.57140889514709,0.0935667412306589,9900,0.005,10,0.1,"22722817",1,0
10211,22724341,79,1.58806626297669,0.0942599256217264,21600,0.005,10,0.1,"22722825",1,0
10191,22724405,378,2.50601814566546,0.129720318674007,133200,0.005,10,0.1,"22722831",1,0
9992,22722905,3856,3.77348543773685,0.172758304782239,1732500,0.005,10,0.1,"22722849",1,0
8308,22722871,718,5.3124912611604,0.219496610928469,918900,0.005,10,0.1,"22722863,22723787",2,0
8196,22722861,896,5.45946388021568,0.223729914623579,3302100,0.005,10,0.1,"22722865,22722885",2,0
8307,22722937,2967,6.52814294216301,0.25355478900367,6016500,0.005,10,0.1,"22722871,22722873",2,0
8545,22724447,510,4.35175275112547,0.190890364731038,2158200,0.005,10,0.1,"22722913,22722897",2,0
9785,22722943,395,4.77269621666478,0.20363560422393,316800,0.005,10,0.1,"22722933,22722959",2,0
8306,22722955,652,7.21958799222613,0.272068178319169,506700,0.005,10,0.1,"22722937,22722935",2,0
8390,22722985,1800,5.29424436451454,0.218968602724935,2945700,0.005,10,0.1,"22722939,22722941",2,0
10224,22724371,630,4.85081093220264,0.205962949408461,387900,0.005,10,0.1,"22722943",2,0
